delivery id,order id,shop id,delivery reserved days,,order_shipVia
1,1,129,4,,bike
2,2,140,3,,Van
3,3,270,4,,Rickshaw
4,4,190,3,,bike
5,5,22,5,,Van
6,6,271,3,,Rickshaw
7,7,120,5,,bike
8,8,234,4,,Van
9,9,249,3,,Rickshaw
10,10,194,3,,bike
11,11,264,4,,Van
12,12,167,4,,Rickshaw
13,13,274,4,,bike
14,14,16,4,,Van
15,15,153,4,,Rickshaw
16,16,102,3,,bike
17,17,162,3,,Van
18,18,105,3,,Rickshaw
19,19,45,4,,bike
20,20,7,3,,Van
21,21,104,4,,Rickshaw
22,22,278,3,,bike
23,23,265,4,,Van
24,24,288,5,,Rickshaw
25,25,121,5,,bike
26,26,15,5,,Van
27,27,232,3,,Rickshaw
28,28,15,3,,bike
29,29,81,5,,Van
30,30,249,3,,Rickshaw
31,31,220,5,,bike
32,32,199,3,,Van
33,33,289,3,,Rickshaw
34,34,8,5,,bike
35,35,151,3,,Van
36,36,77,5,,Rickshaw
37,37,26,4,,bike
38,38,59,4,,Van
39,39,242,5,,Rickshaw
40,40,111,3,,bike
41,41,235,4,,Van
42,42,54,4,,Rickshaw
43,43,47,4,,bike
44,44,46,3,,Van
45,45,36,3,,Rickshaw
46,46,190,4,,bike
47,47,264,4,,Van
48,48,249,3,,Rickshaw
49,49,97,3,,bike
50,50,137,5,,Van
51,51,105,4,,Rickshaw
52,52,83,5,,bike
53,53,183,3,,Van
54,54,134,3,,Rickshaw
55,55,174,5,,bike
56,56,191,5,,Van
57,57,203,3,,Rickshaw
58,58,135,5,,bike
59,59,299,5,,Van
60,60,231,3,,Rickshaw
61,61,175,3,,bike
62,62,121,5,,Van
63,63,73,3,,Rickshaw
64,64,254,4,,bike
65,65,241,5,,Van
66,66,17,3,,Rickshaw
67,67,129,5,,bike
68,68,85,5,,Van
69,69,147,5,,Rickshaw
70,70,152,4,,bike
71,71,253,4,,Van
72,72,29,4,,Rickshaw
73,73,236,4,,bike
74,74,275,4,,Van
75,75,76,5,,Rickshaw
76,76,67,5,,bike
77,77,11,4,,Van
78,78,48,4,,Rickshaw
79,79,44,3,,bike
80,80,233,3,,Van
81,81,189,5,,Rickshaw
82,82,266,5,,bike
83,83,256,5,,Van
84,84,44,3,,Rickshaw
85,85,227,3,,bike
86,86,129,3,,Van
87,87,46,4,,Rickshaw
88,88,59,5,,bike
89,89,23,5,,Van
90,90,259,4,,Rickshaw
91,91,189,3,,bike
92,92,269,3,,Van
93,93,12,4,,Rickshaw
94,94,146,4,,bike
95,95,54,3,,Van
96,96,2,5,,Rickshaw
97,97,89,3,,bike
98,98,156,5,,Van
99,99,273,3,,Rickshaw
100,100,217,5,,bike
101,101,244,5,,Van
102,102,21,3,,Rickshaw
103,103,10,4,,bike
104,104,249,4,,Van
105,105,141,3,,Rickshaw
106,106,155,4,,bike
107,107,259,5,,Van
108,108,152,5,,Rickshaw
109,109,34,4,,bike
110,110,286,3,,Van
111,111,231,3,,Rickshaw
112,112,146,3,,bike
113,113,293,4,,Van
114,114,190,4,,Rickshaw
115,115,200,4,,bike
116,116,211,4,,Van
117,117,284,4,,Rickshaw
118,118,25,3,,bike
119,119,58,3,,Van
120,120,113,5,,Rickshaw
121,121,117,3,,bike
122,122,191,4,,Van
123,123,107,4,,Rickshaw
124,124,235,5,,bike
125,125,204,3,,Van
126,126,40,5,,Rickshaw
127,127,16,3,,bike
128,128,99,3,,Van
129,129,281,5,,Rickshaw
130,130,193,3,,bike
131,131,270,4,,Van
132,132,289,4,,Rickshaw
133,133,235,5,,bike
134,134,39,3,,Van
135,135,32,5,,Rickshaw
136,136,106,4,,bike
137,137,168,4,,Van
138,138,65,5,,Rickshaw
139,139,127,3,,bike
140,140,134,4,,Van
141,141,118,4,,Rickshaw
142,142,19,4,,bike
143,143,292,3,,Van
144,144,299,5,,Rickshaw
145,145,272,3,,bike
146,146,71,5,,Van
147,147,70,5,,Rickshaw
148,148,160,5,,bike
149,149,159,4,,Van
150,150,129,3,,Rickshaw
151,151,296,4,,bike
152,152,260,4,,Van
153,153,141,5,,Rickshaw
154,154,257,3,,bike
155,155,98,4,,Van
156,156,105,4,,Rickshaw
157,157,262,3,,bike
158,158,97,3,,Van
159,159,65,3,,Rickshaw
160,160,230,5,,bike
161,161,216,5,,Van
162,162,130,4,,Rickshaw
163,163,86,5,,bike
164,164,147,4,,Van
165,165,261,4,,Rickshaw
166,166,143,4,,bike
167,167,262,3,,Van
168,168,161,4,,Rickshaw
169,169,19,4,,bike
170,170,82,5,,Van
171,171,170,4,,Rickshaw
172,172,272,4,,bike
173,173,62,4,,Van
174,174,13,5,,Rickshaw
175,175,262,4,,bike
176,176,280,5,,Van
177,177,117,4,,Rickshaw
178,178,194,5,,bike
179,179,265,3,,Van
180,180,161,3,,Rickshaw
181,181,279,4,,bike
182,182,49,3,,Van
183,183,192,5,,Rickshaw
184,184,226,4,,bike
185,185,10,4,,Van
186,186,285,4,,Rickshaw
187,187,58,5,,bike
188,188,95,3,,Van
189,189,257,3,,Rickshaw
190,190,217,4,,bike
191,191,263,3,,Van
192,192,83,3,,Rickshaw
193,193,194,3,,bike
194,194,213,3,,Van
195,195,116,5,,Rickshaw
196,196,175,4,,bike
197,197,282,3,,Van
198,198,136,3,,Rickshaw
199,199,138,5,,bike
200,200,240,4,,Van
201,201,47,5,,Rickshaw
202,202,268,5,,bike
203,203,30,3,,Van
204,204,187,5,,Rickshaw
205,205,71,3,,bike
206,206,124,4,,Van
207,207,74,3,,Rickshaw
208,208,123,3,,bike
209,209,152,5,,Van
210,210,216,5,,Rickshaw
211,211,27,3,,bike
212,212,284,3,,Van
213,213,47,5,,Rickshaw
214,214,151,4,,bike
215,215,232,5,,Van
216,216,280,3,,Rickshaw
217,217,154,5,,bike
218,218,287,3,,Van
219,219,248,3,,Rickshaw
220,220,290,4,,bike
221,221,255,3,,Van
222,222,38,4,,Rickshaw
223,223,57,4,,bike
224,224,183,4,,Van
225,225,160,3,,Rickshaw
226,226,3,4,,bike
227,227,96,3,,Van
228,228,185,5,,Rickshaw
229,229,51,5,,bike
230,230,62,5,,Van
231,231,250,5,,Rickshaw
232,232,70,5,,bike
233,233,110,4,,Van
234,234,155,5,,Rickshaw
235,235,134,3,,bike
236,236,239,5,,Van
237,237,144,3,,Rickshaw
238,238,213,4,,bike
239,239,284,5,,Van
240,240,151,3,,Rickshaw
241,241,195,3,,bike
242,242,29,3,,Van
243,243,290,5,,Rickshaw
244,244,276,3,,bike
245,245,49,4,,Van
246,246,135,3,,Rickshaw
247,247,249,3,,bike
248,248,164,4,,Van
249,249,183,4,,Rickshaw
250,250,195,3,,bike
251,251,289,3,,Van
252,252,33,5,,Rickshaw
253,253,1,4,,bike
254,254,50,5,,Van
255,255,70,4,,Rickshaw
256,256,30,5,,bike
257,257,23,5,,Van
258,258,275,4,,Rickshaw
259,259,278,5,,bike
260,260,147,3,,Van
261,261,142,3,,Rickshaw
