order no,customer id,product id,payment id,DateID ,order Qty,order_type
1,944,821,4,1,1,CashOnDelivery
2,421,106,2,1,3,OnlinePayment
3,752,102,3,1,4,OnInstallment
4,85,1095,3,2,2,CashOnDelivery
5,25,941,1,2,3,OnlinePayment
6,408,775,4,2,1,OnInstallment
7,754,415,4,2,2,CashOnDelivery
8,492,127,1,3,3,OnlinePayment
9,534,950,4,3,2,OnInstallment
10,525,1247,2,3,3,CashOnDelivery
11,37,39,1,3,5,OnlinePayment
12,264,961,2,3,2,OnInstallment
13,89,1276,4,4,2,CashOnDelivery
14,192,695,4,4,3,OnlinePayment
15,482,398,3,4,3,OnInstallment
16,962,334,1,4,5,CashOnDelivery
17,186,583,1,4,1,OnlinePayment
18,32,446,4,4,3,OnInstallment
19,419,275,1,5,2,CashOnDelivery
20,431,1021,2,5,3,OnlinePayment
21,300,1373,4,5,2,OnInstallment
22,742,1146,2,5,1,CashOnDelivery
23,98,899,3,5,4,OnlinePayment
24,220,946,2,5,4,OnInstallment
25,965,1299,4,5,2,CashOnDelivery
26,749,599,4,5,5,OnlinePayment
27,642,1444,3,5,4,OnInstallment
28,589,673,4,5,2,CashOnDelivery
29,28,1055,2,5,5,OnlinePayment
30,381,922,4,6,2,OnInstallment
31,521,451,3,6,4,CashOnDelivery
32,115,522,3,6,1,OnlinePayment
33,734,1246,4,6,1,OnInstallment
34,783,548,3,6,2,CashOnDelivery
35,185,548,1,6,1,OnlinePayment
36,406,156,3,6,5,OnInstallment
37,160,57,2,6,1,CashOnDelivery
38,417,1330,2,6,3,OnlinePayment
39,298,1214,1,6,3,OnInstallment
40,613,160,2,6,2,CashOnDelivery
41,566,736,1,6,5,OnlinePayment
42,372,327,4,6,1,OnInstallment
43,505,1263,2,6,1,CashOnDelivery
44,434,905,4,6,4,OnlinePayment
45,817,963,4,6,3,OnInstallment
46,151,1104,1,6,4,CashOnDelivery
47,221,1406,3,6,1,OnlinePayment
48,145,217,4,6,4,OnInstallment
49,132,420,1,6,1,CashOnDelivery
50,561,931,2,7,3,OnlinePayment
51,481,964,4,7,1,OnInstallment
52,177,292,4,7,5,CashOnDelivery
53,164,334,4,7,2,OnlinePayment
54,780,602,4,7,1,OnInstallment
55,542,1459,3,7,4,CashOnDelivery
56,868,893,4,7,1,OnlinePayment
57,722,532,3,7,2,OnInstallment
58,772,1477,3,7,4,CashOnDelivery
59,521,1230,2,7,3,OnlinePayment
60,579,507,2,7,1,OnInstallment
61,655,1243,4,7,2,CashOnDelivery
62,359,24,2,7,4,OnlinePayment
63,181,1133,3,7,5,OnInstallment
64,135,114,3,8,4,CashOnDelivery
65,131,1469,2,8,2,OnlinePayment
66,506,532,1,8,3,OnInstallment
67,940,195,2,8,3,CashOnDelivery
68,535,549,2,8,5,OnlinePayment
69,57,891,4,8,3,OnInstallment
70,66,1210,3,8,1,CashOnDelivery
71,140,125,1,8,4,OnlinePayment
72,120,894,4,8,4,OnInstallment
73,779,888,3,8,1,CashOnDelivery
74,98,141,2,8,4,OnlinePayment
75,102,896,2,8,2,OnInstallment
76,609,1299,3,8,2,CashOnDelivery
77,489,262,4,8,2,OnlinePayment
78,832,1383,1,8,3,OnInstallment
79,148,35,1,8,2,CashOnDelivery
80,71,334,3,8,4,OnlinePayment
81,669,557,2,8,3,OnInstallment
82,808,1074,2,8,2,CashOnDelivery
83,361,994,3,8,1,OnlinePayment
84,467,957,2,8,1,OnInstallment
85,170,747,2,8,1,CashOnDelivery
86,4,1142,4,8,1,OnlinePayment
87,396,205,2,8,2,OnInstallment
88,505,379,3,8,5,CashOnDelivery
89,550,122,1,8,3,OnlinePayment
90,493,1168,4,8,3,OnInstallment
91,404,1163,4,8,5,CashOnDelivery
92,942,1030,3,8,5,OnlinePayment
93,655,772,2,8,2,OnInstallment
94,647,490,3,8,5,CashOnDelivery
95,884,740,3,8,5,OnlinePayment
96,471,87,3,8,4,OnInstallment
97,796,561,1,8,4,CashOnDelivery
98,967,131,1,8,4,OnlinePayment
99,659,531,4,8,5,OnInstallment
100,638,705,2,8,1,CashOnDelivery
101,164,104,1,8,3,OnlinePayment
102,306,859,1,8,3,OnInstallment
103,854,274,1,8,4,CashOnDelivery
104,832,224,3,8,5,OnlinePayment
105,607,114,3,8,2,OnInstallment
